country,product_category,bin_min,bin_max,bin_count
Vietnam,egg,0.19084146666666665,1.2091413333333334,3
Russia,bread,0.8053506285714286,1.3088685859943978,16
Russia,bread,1.3088685859943978,1.8123865434173672,29
Russia,bread,1.8123865434173672,2.315904500840336,29
Russia,bread,2.315904500840336,2.8194224582633054,29
Russia,bread,2.8194224582633054,3.3229404156862743,18
Russia,bread,3.3229404156862743,3.8264583731092436,12
Russia,bread,3.8264583731092436,4.329976330532213,3
Russia,bread,4.329976330532213,4.833494287955182,2
Russia,bread,4.833494287955182,5.337012245378151,3
Russia,bread,5.337012245378151,5.84053020280112,0
Russia,bread,5.84053020280112,6.34404816022409,0
Russia,bread,6.34404816022409,7.847566117647059,1
Vietnam,bread,1.7049565217391305,2.57054983277592,4
Vietnam,bread,2.57054983277592,3.4361431438127092,8
Vietnam,bread,3.4361431438127092,4.3017364548494985,1
Vietnam,bread,4.3017364548494985,5.167329765886288,3
Vietnam,bread,5.167329765886288,7.032923076923077,1
Russia,tomato,2.25531344,4.847042533333333,3
Russia,tomato,4.847042533333333,7.438771626666667,9
Russia,tomato,7.438771626666667,10.03050072,3
Russia,tomato,10.03050072,12.622229813333334,3
Russia,tomato,12.622229813333334,15.213958906666667,9
Russia,tomato,15.213958906666667,18.805688,4
Vietnam,tomato,0.9372146,2.00148256,9
Vietnam,tomato,2.00148256,3.06575052,5
Vietnam,tomato,3.06575052,4.13001848,2
Vietnam,tomato,4.13001848,5.19428644,0
Vietnam,tomato,5.19428644,7.2585544,2
Russia,yogurt,2.3264151578947367,2.8806389882398302,14
Russia,yogurt,2.8806389882398302,3.434862818584924,6
Russia,yogurt,3.434862818584924,3.9890866489300176,15
Russia,yogurt,3.9890866489300176,4.543310479275111,21
Russia,yogurt,4.543310479275111,5.097534309620205,16
Russia,yogurt,5.097534309620205,5.651758139965298,3
Russia,yogurt,5.651758139965298,6.205981970310392,35
Russia,yogurt,6.205981970310392,6.760205800655486,25
Russia,yogurt,6.760205800655486,7.3144296310005785,3
Russia,yogurt,7.3144296310005785,7.868653461345671,5
Russia,yogurt,7.868653461345671,8.422877291690765,9
Russia,yogurt,8.422877291690765,8.97710112203586,4
Russia,yogurt,8.97710112203586,10.531324952380952,2
Vietnam,yogurt,2.4181966666666663,3.7587510227272722,38
Vietnam,yogurt,3.7587510227272722,5.099305378787879,13
Vietnam,yogurt,5.099305378787879,6.4398597348484845,0
Vietnam,yogurt,6.4398597348484845,7.78041409090909,0
Vietnam,yogurt,7.78041409090909,9.120968446969696,9
Vietnam,yogurt,9.120968446969696,10.461522803030302,0
Vietnam,yogurt,10.461522803030302,11.802077159090908,2
Vietnam,yogurt,11.802077159090908,14.142631515151514,1
Russia,orange,1.6582894400000001,2.19196256,4
Russia,orange,2.19196256,2.72563568,2
Russia,orange,2.72563568,4.2593087999999995,3
Vietnam,orange,0.8195726,2.363297066666667,6
Vietnam,orange,2.363297066666667,3.907021533333334,2
Vietnam,orange,3.907021533333334,6.4507460000000005,1
Russia,black_tea,7.600308999999998,11.867622687499999,18
Russia,black_tea,11.867622687499999,16.134936375,26
Russia,black_tea,16.134936375,20.402250062500002,42
Russia,black_tea,20.402250062500002,24.669563750000002,59
Russia,black_tea,24.669563750000002,28.9368774375,28
Russia,black_tea,28.9368774375,33.204191125,29
Russia,black_tea,33.204191125,37.4715048125,14
Russia,black_tea,37.4715048125,41.7388185,13
Russia,black_tea,41.7388185,46.0061321875,3
Russia,black_tea,46.0061321875,50.273445875,5
Russia,black_tea,50.273445875,54.5407595625,3
Russia,black_tea,54.5407595625,58.80807325000001,3
Russia,black_tea,58.80807325000001,63.07538693750001,5
Russia,black_tea,63.07538693750001,67.342700625,0
Russia,black_tea,67.342700625,71.6100143125,0
Russia,black_tea,71.6100143125,76.877328,2
Vietnam,black_tea,24.70482,44.70396,13
Vietnam,black_tea,44.70396,64.7031,4
Vietnam,black_tea,64.7031,84.70224,1
Vietnam,black_tea,84.70224,104.70138,0
Vietnam,black_tea,104.70138,125.70052,2
Russia,tofu,5.7486777600000005,6.743558062222223,2
Russia,tofu,6.743558062222223,7.738438364444445,1
