id,name,parent_id,parent_name,slug,level
20070,Детская бытовая химия,19966.0,"Скидка 45% на все стиральные порошки, капсулы, гели для стирки",detskaya-bytovaya-himiya,3
20086,Замороженные продукты,20077.0,Гастроном и замороженная продукция,zamorozhennye-produkty,3
20099,Энергетики,20081.0,Напитки,energetiki,3
20505,Ложковые йогурты,20501.0,Молочный прилавок,lozhkovye-jjogurty,3
20526,Продукты для завтрака,20522.0,Бакалея,produkty-dlya-zavtraka,3
20545,"Баранки, сушки, крекеры",20541.0,Кондитерские изделия,baranki-sushki-krekery,3
20560,"Серый, ржаной",20555.0,Хлеб и выпечка,seryjj-rzhanojj,3
20569,Заменители животного белка,20565.0,Функциональное питание,zameniteli-zhivotnogo-belka,3
20581,Семечки,20577.0,Снеки и орехи,semechki,3
20588,Лимонады классические,20584.0,Напитки,limonady-klassicheskie,3
20598,Напитки,20594.0,Детские товары,napitki,3
20605,Для полости рта,20601.0,Уход и гигиена,dlya-polosti-rta,3
20612,"Уход за обувью, одеждой",20608.0,Бытовая химия,uhod-za-obuvyu-odezhdojj,3
20623,"Лампы, батарейки",20617.0,Для дома,lampy-batarejjki,3
20656,Овсянка,20651.0,Крупы,ovsyanka,3
20701,Орешки,20697.0,"Чипсы, сухарики и другие снеки со скидками до 45%",oreshki,3
20710,"Заменители сахара, сиропы",20705.0,Продукты без содержания сахара со скидками до 30%,zameniteli-sahara-siropy,3
39,"Завтраки, хлопья  для детей и взрослых",37.0,Сухие завтраки и хлопья,zavtraki-hlopya--dlya-detejj-i-vzroslyh,3
73,Злаковые батончики,2632.0,Шоколад и батончики,zlakovye-batonchiki,3
582,Зерненый,402.0,Творог,zernenyjj,3
586,Другие,123.0,Сырки и десерты,drugie,3
618,Травяной в пакетиках,250.0,Чай,travyanojj-v-paketikah,3
648,Телятина,418.0,Говядина,telyatina,3
667,Крылья куриные,141.0,Мясо птицы,krylya-kurinye,3
678,Субпродукты,674.0,Другие виды мяса,subprodukty,3
793,Гарниры,268.0,Вторые блюда,garniry,3
828,Пшеничный,807.0,"Батон, хлеб, лаваш",pshenichnyjj,3
840,Хлебные палочки,836.0,"Хлебцы, выпечка, сушки",hlebnye-palochki,3
846,Полуфабрикаты овощные,78.0,Замороженные блюда,polufabrikaty-ovoshchnye,3
873,Другие вкусы,7.0,Газировка,drugie-vkusy,3
885,Ягодные,877.0,Соки,yagodnye,3
1037,Суфле,1033.0,"Зефир, мармелад и восточные сладости",sufle,3
1048,Семейная упаковка,1038.0,"Печенье, пряники, вафли",semejjnaya-upakovka,3
1084,"Мешки, контейнеры для мусора",1081.0,Инвентарь для уборки,meshki-kontejjnery-dlya-musora,3
1088,"Для ковров, мебели",1730.0,"Чистящие, моющие средства",dlya-kovrov-mebeli,3
1091,Халяль,764.0,Деликатесы,halyal,3
1133,Майонез оливковый,285.0,"Соусы, кетчупы, майонез",majjonez-olivkovyjj,3
1178,Белая слабосоленая,1177.0,Рыба соленая и копченая,belaya-slabosolenaya,3
1203,"Зефир, мармелад, пастила",222.0,Диабетические продукты,zefir-marmelad-pastila,3
1224,Лосось,97.0,Рыбные консервы,losos,3
1457,"Блюда, салатники",1495.0,Посуда для сервировки,blyuda-salatniki,3
1504,Решетки,2758.0,Для шашлыка и барбекю,reshetki,3
1556,Смеси для выпечки,33.0,Мука и другое для выпечки,smesi-dlya-vypechki,3
1709,"Малярный инструмент, шпатели",1704.0,Товары для ремонта,malyarnyjj-instrument-shpateli,3
1803,Триммеры,1802.0,Уход и красота,trimmery,3
1834,Тепловые пушки и тепловентиляторы,1797.0,Климатическая техника,teplovye-pushki-i-teploventilyatory,3
1842,Рожковые кофеварки,1840.0,Кофеварки и кофемашины,rozhkovye-kofevarki,3
1881,Бобовые,27.0,Крупы,bobovye,3
2680,Чулки,2674.0,Женская одежда,chulki,3
2849,Вазы,1450.0,Декор интерьера,vazy,3
2862,Аксессуары для компьютеров,2860.0,Компьютерная техника,aksessuary-dlya-kompyuterov,3
2864,Аксессуары для телефонов,2853.0,Аудио и видео техника,aksessuary-dlya-telefonov,3
3006,Драже,2633.0,Конфеты,drazhe,3
3216,Паприка,195.0,Специи,paprika,3
