,name,price,uom,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
1105,"Чай черный AKBAR Смородина и мята, листовой, 100г",6.02839456,100г,black_tea,Lenta,100.0,60.2839456,,,,
1107,"Чай черный RICHARD Royal Moro orange&Passion flower, 25пак",2.2460264,25пак,black_tea,Lenta,42.5,52.84768,,,,
1108,"Чай черный CURTIS Perfect Brunch листовой, 100г",2.51369216,100г,black_tea,Lenta,100.0,25.136921599999997,,,,
1109,"Чай черный CURTIS Tender Moments листовой, 100г",2.60678368,100г,black_tea,Lenta,100.0,26.067836800000002,,,,
1110,"Чай зеленый CURTIS Mango Mood листовой, 100г",2.4671464,100г,green_tea,Lenta,100.0,24.671464,,,,
1112,"Чай черный KIOKO с ароматом бергамота, 25пак",3.7938663999999998,25пак,black_tea,Lenta,50.0,75.877328,,,,
1115,"Чай зеленый ЧЕРНЫЙ ДРАКОН Китайский с имбирем байховый листовой, 100г",2.39351344,100г,green_tea,Lenta,100.0,23.9351344,,,,
1118,"Чай черный ЛИСМА Садовые ягоды с чабрецом, 25пак",0.66324944,25пак,black_tea,Lenta,37.5,17.686651733333335,,,,
1123,"Чай черный IN-STICK Top choice Ассорти 3 Апельсин-миндаль, трюфель-какао, амаретто, 12пак",1.39648336,12пак,black_tea,Lenta,24.0,58.18680666666666,,,,
1124,"Чай черный NADIN С Праздником, крупнолистовой, 50г",1.71356944,50г,black_tea,Lenta,50.0,34.271388800000004,,,,
1125,"Чай черный NADIN Счастливого Нового года! крупнолистовой, 50г",1.71356944,50г,black_tea,Lenta,50.0,34.271388800000004,,,,
1126,"Чай черный МАЙСКИЙ Новогодний медальон, листовой, 20г",2.39351344,20г,black_tea,Lenta,20.0,119.67567199999999,,,,
1127,"Чай черный TEATALE Новогодняя мечта Бодрящий бергамот, 50г",1.49797744,50г,black_tea,Lenta,50.0,29.9595488,,,,
1128,"Чай черный TEATALE Мелодия Рождества Варежки, 50г",1.49797744,50г,black_tea,Lenta,50.0,29.9595488,,,,
1129,"Чай черный TEATALE Время подарков, 50г",1.49797744,50г,black_tea,Lenta,50.0,29.9595488,,,,
1130,"Чай черный ВКУСЫ МИРА Праздничный апельсин, листовой, 50г",2.69755344,50г,black_tea,Lenta,50.0,53.9510688,,,,
