,name,price,uom,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
2886,Nước mắm nhĩ chính hiệu Phú Quốc 35 độ đạm Thanh Hà chai 520ml,102100.0,CHA,Winmart,fish_sauce,,,,,520.0,196346.15384615384
2889,Nước mắm Phú Quốc Ông Kỳ chai 525ml,132700.0,CHA,Winmart,fish_sauce,,,,,525.0,252761.90476190476
2890,Nước mắm Phú Quốc Ông Kỳ 38 độ đạm chai 525ml,118800.0,CHA,Winmart,fish_sauce,,,,,525.0,226285.7142857143
2891,Nước mắm Phú Quốc Ông Kỳ 35 độ đạm chai 525ml,108100.0,CHA,Winmart,fish_sauce,,,,,525.0,205904.7619047619
2892,Nước mắm cao cấp Barona vị xưa chai 500ml,83400.0,CHA,Winmart,fish_sauce,,,,,500.0,166800.0
2893,Nước mắm Hạnh Phúc 40B chai 500ml,82600.0,CHA,Winmart,fish_sauce,,,,,500.0,165200.0
2894,Nước mắm cá cơm 60 độ đạm Hạnh Phúc  50ml,199100.0,HOP,Winmart,fish_sauce,,,,,50.0,3982000.0
2895,Nước mắm cá cơm 50 độ đạm Hạnh Phúc chai 500ml,104100.0,CHA,Winmart,fish_sauce,,,,,500.0,208200.0
2896,Nước mắm Hạnh Phúc 60N chai 250ml,73100.0,CHA,Winmart,fish_sauce,,,,,250.0,292400.0
2897,Nước mắm cá cơm Cholimex chai 750g,81800.0,CHA,Winmart,fish_sauce,750.0,109066.66666666666,,,,
2898,Nước mắm cá cơm 60 độ đạm Hạnh Phúc chai 500ml,138000.0,CHA,Winmart,fish_sauce,,,,,500.0,276000.0
2899,Nước mắm nhỉ cá cơm 30 độ đạm 584 Nha Trang chai 500ml,55000.0,CHA,Winmart,fish_sauce,,,,,500.0,110000.0
2900,Nước mắm Hạnh Phúc 60N 50ml,18000.0,CHA,Winmart,fish_sauce,,,,,50.0,360000.0
2901,Nước mắm Barona đặc biệt Hải Nhi chai 50ml,25400.0,CHA,Winmart,fish_sauce,,,,,50.0,508000.0
2902,Nước mắm cá cơm siêu hạng Hưng Thịnh 35 độ đạm chai 620ml,59900.0,CHA,Winmart,fish_sauce,,,,,620.0,96612.90322580645
2903,Nước mắm cá cơm đặc sản Hưng Thịnh 40 độ đạm chai 750ml,86400.0,CHA,Winmart,fish_sauce,,,,,750.0,115200.0
2904,Nước mắm CHIN-SU cá cơm biển đông 720ml,61000.0,CHA,Winmart,fish_sauce,,,,,720.0,84722.22222222223
2905,Nước mắm Chin Su cao cấp biển đông khẩu vị Nhật 500m,102000.0,CHA,Winmart,fish_sauce,,,,,,
2907,Nước mắm Nam Ngư cao cấp ủ chượp và đóng chai tại Phú Quốc  chai 500ml,65000.0,CHA,Winmart,fish_sauce,,,,,500.0,130000.0
2911,Nước mắm cá cơm Thuận Phát 30N chai 620ml,65500.0,CHA,Winmart,fish_sauce,,,,,620.0,105645.16129032258
