,name,price,pricing_unit,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
1591,Хлеб Сибирский пекарь зерновой мультизлаковый со льном нарезка 280г,69.99,280 г,bread,Pyaterochka,280.0,249.9642857142857,,,,
1595,Хлеб Коломенское Бородинский нарезка 400г,59.99,400 г,bread,Pyaterochka,400.0,149.975,,,,
1596,Хлеб Черемушки Московский 340г,44.99,340 г,bread,Pyaterochka,340.0,132.3235294117647,,,,
1598,Хлеб Черемушки Зерновик нарезка 460г,109.99,460 г,bread,Pyaterochka,460.0,239.1086956521739,,,,
1604,Хлеб Зерница ржано-пшеничный бездрожжевой нарезка 300г,57.99,300 г,bread,Pyaterochka,300.0,193.3,,,,
1605,Хлеб Хлебный Дом Марьин заварной 350г,89.99,350 г,bread,Pyaterochka,350.0,257.1142857142857,,,,
1606,Хлеб Хлебозавод 28 Для Фитнеса нарезка 300г,73.99,300 г,bread,Pyaterochka,300.0,246.63333333333333,,,,
1607,Хлеб Рижский хлеб Крестьянский бездрожжевой заварной подовый 300г,67.99,300 г,bread,Pyaterochka,300.0,226.63333333333333,,,,
1610,Хлеб Дарницкий нарезка 160г,19.99,160 г,bread,Pyaterochka,160.0,124.9375,,,,
1611,Хлеб Рижский хлеб Ароматный подовый 300г,69.99,300 г,bread,Pyaterochka,300.0,233.29999999999998,,,,
1612,Хлеб Рижский Хлеб Бородинский 300г,93.99,300 г,bread,Pyaterochka,300.0,313.29999999999995,,,,
1613,Хлеб Нижегородский Хлеб 400г,59.99,400 г,bread,Pyaterochka,400.0,149.975,,,,
1615,Хлеб Селяночка Тостовый нарезка 250г,46.99,250 г,bread,Pyaterochka,250.0,187.96,,,,
1617,Хлеб Нижегородский хлеб Дарницкий формовой 700г,50.99,700 г,bread,Pyaterochka,700.0,72.84285714285714,,,,
1618,Хлеб Нижегородский хлеб Буржуа нарезка 350г,69.99,350 г,bread,Pyaterochka,350.0,199.97142857142856,,,,
1619,Хлеб Зерница Полезные рецепты Пшеничный злаковый нарезка 300г,69.99,300 г,bread,Pyaterochka,300.0,233.29999999999998,,,,
1620,Хлеб Рижский хлеб Ароматный ржано-пшеничный подовый с изюмом 300г,85.99,300 г,bread,Pyaterochka,300.0,286.63333333333327,,,,
1622,Хлеб Пеко Медведковский ржано-пшеничный заварной нарезка 375г,49.99,375 г,bread,Pyaterochka,375.0,133.30666666666667,,,,
1624,Хлеб Пеко Столовый Новый нарезка 160г,19.99,160 г,bread,Pyaterochka,160.0,124.9375,,,,
1625,Хлеб Рижский хлеб ржаной со злаками 300г,134.99,300 г,bread,Pyaterochka,300.0,449.9666666666667,,,,
1626,Хлеб Рижский хлеб Юбилейный бездрожжевой 205г,149.99,205 г,bread,Pyaterochka,205.0,731.6585365853659,,,,
1629,Хлеб Пеко Медведковский пшеничный злаковый нарезка 300г,54.99,300 г,bread,Pyaterochka,300.0,183.3,,,,
1760,Окорок свиной бескостный охлажденный,299.99,Цена за 1 кг,pork_leg,Pyaterochka,1000.0,299.99,,,,
1785,Филе куриное охлажденное,329.99,Цена за 1 кг,chicken_fillet,Pyaterochka,1000.0,329.99,,,,
1787,Филе грудки цыплёнка Петелинка охлаждённое,449.99,Цена за 1 кг,chicken_fillet,Pyaterochka,1000.0,449.99,,,,
3397,Макароны Шебекинские рожок полубублик №202 450г,63.99,450 г,pasta,Pyaterochka,450.0,142.2,,,,
3398,"Макароны Шебекинские спирали №366, 450г",63.99,450 г,pasta,Pyaterochka,450.0,142.2,,,,
3399,Макароны Makfa витки 450г,63.99,450 г,pasta,Pyaterochka,450.0,142.2,,,,
3400,Спагетти Шебекинские №2 тонкие 450г,63.99,450 г,pasta,Pyaterochka,450.0,142.2,,,,
3401,Макароны Makfa Спагетти 450г,63.99,450 г,pasta,Pyaterochka,450.0,142.2,,,,
3402,Гречка ядрица 900г,33.99,900 г,buckwheat,Pyaterochka,900.0,37.76666666666667,,,,
3403,Гречка ядрица Селяночка быстроразваривающаяся пропаренная 900г,94.99,900 г,buckwheat,Pyaterochka,900.0,105.54444444444444,,,,
3404,Макароны Barilla Спагетти n.5 450г,109.99,450 г,pasta,Pyaterochka,450.0,244.42222222222222,,,,
3405,Гречка Селяночка ядрица быстроразваривающаяся 5х80г,83.99,400 г,buckwheat,Pyaterochka,400.0,209.975,,,,
3406,Рис Селяночка круглозерный 5x80г,89.99,400 г,rice,Pyaterochka,400.0,224.975,,,,
3408,Рис круглозернистый шлифованный 900г,49.99,900 г,rice,Pyaterochka,900.0,55.544444444444444,,,,
3409,Рис Global Village Для плова 800г,124.99,800 г,rice,Pyaterochka,800.0,156.2375,,,,
3410,Рис Селяночка длиннозерный пропаренный 900г,139.99,900 г,rice,Pyaterochka,900.0,155.54444444444445,,,,
3411,"Макароны Ладные рожки, 400г",51.49,400 г,pasta,Pyaterochka,400.0,128.725,,,,
3412,"Рис Селяночка круглозёрный шлифованный, 900г",129.99,900 г,rice,Pyaterochka,900.0,144.43333333333334,,,,
3413,Макароны Baisad рожки 450г,57.99,450 г,pasta,Pyaterochka,450.0,128.86666666666667,,,,
3415,Макароны Barilla Капеллини n.1 450г,109.99,450 г,pasta,Pyaterochka,450.0,244.42222222222222,,,,
3417,Гречка Агро-Альянс Экстра элитная 900г,129.99,900 г,buckwheat,Pyaterochka,900.0,144.43333333333334,,,,
3418,Макароны Ладные спираль 400г,51.49,400 г,pasta,Pyaterochka,400.0,128.725,,,,
3419,Крупа Увелка гречневая 500г,63.99,500 г,buckwheat,Pyaterochka,500.0,127.98,,,,
3421,Гречка Мистраль 900г,144.99,900 г,buckwheat,Pyaterochka,900.0,161.10000000000002,,,,
3422,Рис Селяночка длиннозерный первый сорт 5х80г,132.99,400 г,rice,Pyaterochka,400.0,332.475,,,,
3423,Рис Увелка круглозерный шлифованный 500г,79.99,500 г,rice,Pyaterochka,500.0,159.98,,,,
3424,Макароны Ладные перья группа А 400г,51.49,400 г,pasta,Pyaterochka,400.0,128.725,,,,
3425,Макароны Baisad перья 450г,57.99,450 г,pasta,Pyaterochka,450.0,128.86666666666667,,,,
3426,Макароны Makfa спирали экспресс 400г,63.99,400 г,pasta,Pyaterochka,400.0,159.975,,,,
3427,Макароны Trattoria di Maestro Turatti Farfalle Бантики 450г,94.99,450 г,pasta,Pyaterochka,450.0,211.08888888888887,,,,
3428,Макароны Baisad спагетти 450г,57.99,450 г,pasta,Pyaterochka,450.0,128.86666666666667,,,,
3429,Макароны Зерница Ракушки 450г,54.99,450 г,pasta,Pyaterochka,450.0,122.2,,,,
3430,"Спагетти Зерница высший сорт, 500г",54.99,500 г,pasta,Pyaterochka,500.0,109.98,,,,
3431,Макароны Barilla Penne Rigate n.73 из твердых сортов пшеницы 450г,109.99,450 г,pasta,Pyaterochka,450.0,244.42222222222222,,,,
3432,Рис пропаренный шлифованный 900г,112.99,900 г,rice,Pyaterochka,900.0,125.54444444444444,,,,
3435,Макароны Pasteroni Грандине Птитим №122 400г,84.99,400 г,pasta,Pyaterochka,400.0,212.475,,,,
3437,Макароны Шебекинские перья №343 450г,63.99,450 г,pasta,Pyaterochka,450.0,142.2,,,,
3438,Макароны Barilla Баветте n.13 450г,109.99,450 г,pasta,Pyaterochka,450.0,244.42222222222222,,,,
3442,Рис Селяночка длиннозерный шлифованный 900г,148.99,900 г,rice,Pyaterochka,900.0,165.54444444444448,,,,
3443,Рис Global Village Басмати шлифованный 450г,169.99,450 г,rice,Pyaterochka,450.0,377.7555555555556,,,,
3444,Макароны Шебекинские улитки №295 группа А 450г,67.99,450 г,pasta,Pyaterochka,295.0,230.4745762711864,,,,
3448,Рис Националь для плова 900г,144.99,900 г,rice,Pyaterochka,900.0,161.10000000000002,,,,
3451,Макароны Зерница Витой рожок 450г,57.99,450 г,pasta,Pyaterochka,450.0,128.86666666666667,,,,
3453,Рис Мистраль Янтарь длиннозерный пропаренный 5х80г,137.99,400 г,rice,Pyaterochka,400.0,344.975,,,,
3454,Гречка Мистраль ядрица 5х80г,119.99,400 г,buckwheat,Pyaterochka,400.0,299.97499999999997,,,,
3455,"Спагетти Trattoria di Maestro Turatti, 450г",94.99,450 г,pasta,Pyaterochka,450.0,211.08888888888887,,,,
3456,Макароны Trattoria di Maestro Turatti Гнёзда 450г,179.99,450 г,pasta,Pyaterochka,450.0,399.9777777777778,,,,
3457,Макароны Barilla Risoni n.26 450г,134.99,450 г,pasta,Pyaterochka,450.0,299.97777777777776,,,,
3458,Макароны Зерница Улитки 450г,57.99,450 г,pasta,Pyaterochka,450.0,128.86666666666667,,,,
3459,Макароны Шебекинские Головоломки 450г,68.99,450 г,pasta,Pyaterochka,450.0,153.3111111111111,,,,
3461,Рис Makfa шлифованный круглозерный в пакетиках 400г,89.99,400 г,rice,Pyaterochka,400.0,224.975,,,,
3462,Рис Националь Краснодарский 900г,162.99,900 г,rice,Pyaterochka,900.0,181.10000000000002,,,,
3463,Спагетти Красная цена 400г,20.99,400 г,pasta,Pyaterochka,400.0,52.474999999999994,,,,
3464,Рис Националь Золотистый длиннозерный пропаренный 900г,179.99,900 г,rice,Pyaterochka,900.0,199.9888888888889,,,,
3465,Рис длиннозерный 900г,105.99,900 г,rice,Pyaterochka,900.0,117.76666666666665,,,,
3467,Макароны Barilla Пипе Ригате n.91 450г,109.99,450 г,pasta,Pyaterochka,450.0,244.42222222222222,,,,
3470,Макароны Baisad Гребешки 450г,57.99,450 г,pasta,Pyaterochka,450.0,128.86666666666667,,,,
3472,Макароны Baisad пружинка 450г,57.99,450 г,pasta,Pyaterochka,450.0,128.86666666666667,,,,
3473,Рис Global Village Басмати шлифованный 5х80г,179.99,400 г,rice,Pyaterochka,400.0,449.975,,,,
3474,Рис Агро-Альянс Кубанский Экстра 900г,158.99,900 г,rice,Pyaterochka,900.0,176.65555555555557,,,,
3475,Рис Global Village бурый 800г,146.99,800 г,rice,Pyaterochka,800.0,183.7375,,,,
3478,Рис Агро-альянс Экстра Элитный длиннозерный 900г,169.99,900 г,rice,Pyaterochka,900.0,188.8777777777778,,,,
3482,Макароны Baisad Звездочки для супчика 250г,63.99,250 г,pasta,Pyaterochka,250.0,255.96,,,,
3483,Макароны Grand Di Pasta Farfalle 400г,73.99,400 г,pasta,Pyaterochka,400.0,184.975,,,,
3484,Спагетти Federici №3 из риса и кукурузы без глютена 250г,92.99,250 г,pasta,Pyaterochka,250.0,371.96,,,,
3486,Рис Националь Бальдо 800г,156.79,800 г,rice,Pyaterochka,800.0,195.98749999999998,,,,
3487,Макароны Barilla Лазанья 500г,279.99,500 г,pasta,Pyaterochka,500.0,559.98,,,,
3490,Рис Мистраль Кубань белый круглозёрный 900г,179.19,900 мл,rice,Pyaterochka,900.0,199.1,,,900.0,199.1
3491,Рис Мистраль Янтарь длиннозерный пропаренный 900г,226.99,900 мл,rice,Pyaterochka,900.0,252.2111111111111,,,900.0,252.2111111111111
3497,Рис Global Village Жасмин 5х80г,137.99,5 шт,rice,Pyaterochka,400.0,344.975,5.0,27.598000000000003,,
3502,Макароны Baisad Рожки с сырным соусом Чеддер 270г,139.99,270 г,pasta,Pyaterochka,270.0,518.4814814814815,,,,
3503,Рис Агро-Альянс Экстра Gold пропаренный 900г,209.99,900 г,rice,Pyaterochka,900.0,233.32222222222222,,,,
3506,Макароны Grand Di Pasta Campanelle 450г,69.99,450 г,pasta,Pyaterochka,450.0,155.53333333333333,,,,
3510,Гречка Мистраль Фермерская 900г,169.99,900 г,buckwheat,Pyaterochka,900.0,188.8777777777778,,,,
3513,Макароны Federici №42 спиральки 400г,99.99,400 г,pasta,Pyaterochka,400.0,249.97499999999997,,,,
3514,Рис Националь Пилаф 800г,169.99,800 г,rice,Pyaterochka,800.0,212.4875,,,,
3516,Рис Global Village шлифованный 450г,187.99,450 г,rice,Pyaterochka,450.0,417.7555555555556,,,,
3521,Макароны Liguori Farfalle №30 450г,149.99,450 г,pasta,Pyaterochka,450.0,333.31111111111113,,,,
3523,Спагетти Liguori №3 450г,149.99,450 г,pasta,Pyaterochka,450.0,333.31111111111113,,,,
3526,Крупа Увелка гречневая ядрица 450г,122.99,450 г,buckwheat,Pyaterochka,450.0,273.31111111111113,,,,
3530,Рис Yelli Бириани 250г,224.99,250 г,rice,Pyaterochka,250.0,899.96,,,,
3597,Чай Greenfield Kenyan Sunrise черный в пакетиках 100х2г,439.99,200 г,tea,Pyaterochka,200.0,2199.95,,,,
3598,Сахар белый песок 1кг,59.99,1 кг,sugar,Pyaterochka,1000.0,59.99,,,,
3599,Сахар Селяночка белый 1кг,97.49,1 кг,sugar,Pyaterochka,1000.0,97.49,,,,
3600,Сахар Русский рафинад прессованный 500г,63.99,500 г,sugar,Pyaterochka,500.0,127.98,,,,
3601,Чай черный Greenfield Golden Ceylon 100шт.,399.99,200 г,tea,Pyaterochka,200.0,1999.95,100.0,3.9999000000000002,,
3602,Чай черный Азерчай Букет 25х2г,73.49,25 шт,tea,Pyaterochka,50.0,1469.8,25.0,2.9396,,
3604,"Чай черный Curtis Blue Berries blues чёрная смородина, ежевика, черника и василёк 20х1.8г",111.99,20 шт,tea,Pyaterochka,36.0,3110.8333333333335,20.0,5.5995,,
3606,Чай черный Greenfield Золотой Цейлон 25х2г,139.99,25 шт,tea,Pyaterochka,50.0,2799.8,25.0,5.599600000000001,,
3609,Чай Tess Pleasure черный с шиповником и яблоком в пакетиках 25х1.5г,129.99,38 г,tea,Pyaterochka,37.5,3466.4,,,,
3611,Чай зеленый Curtis Fresh Mojito 20х1.7г,111.99,34 г,tea,Pyaterochka,34.0,3293.8235294117644,,,,
3612,Чай черный Greenfield Earl Grey Fantasy с бергамотом 25х2г,139.99,25 шт,tea,Pyaterochka,50.0,2799.8,25.0,5.599600000000001,,
3614,Сахар Советский Экстра 1кг,102.99,1 кг,sugar,Pyaterochka,1000.0,102.99,,,,
3616,Чай черный Tess Forest Dream в пирамидках 20х1.8г,109.99,36 г,tea,Pyaterochka,36.0,3055.2777777777774,,,,
3620,Сахар-рафинад 1кг,80.99,1 кг,sugar,Pyaterochka,1000.0,80.99,,,,
3623,Чай Richard Lord Grey черный бергамот-лимон 25х2г,134.39,50 г,tea,Pyaterochka,50.0,2687.7999999999997,,,,
