category_code,name,price,uom,supermarket
MENU0134,Lốc 3 hộp sữa  9 loại hạt Vinamilk Super Nut 180ml,49500.0,G4,Winmart
MENU0134,Lốc 4 hộp Milo sữa lúa mạch ít đường 115ml,20600.0,G4,Winmart
MENU0134,Sữa KUN vị cacao lúa mạch hộp 110ml ,20000.0,G4,Winmart
MENU0134,Thùng 36 hộp sữa đậu nành Fami canxi 200ml,181800.0,T,Winmart
MENU0134,Sữa đậu nành Fami Canxi Vinasoy túi 200ml,4200.0,G1,Winmart
MENU0134,KUN Sữa vị cacao lúa mạch hộp 180ml,372000.0,T,Winmart
MENU0134,Sữa bắp non LiF lốc 4 hộp x 180ml,32000.0,G4,Winmart
MENU0134,MILO Sữa uống lúa mạch 115ml/110ml,252000.0,T,Winmart
MENU0134,Thùng 48  hộp sữa uống lúa mạch Milo Nestlé 180ml,378000.0,T,Winmart
MENU0134,Lốc 4 hộp sữa uống lúa mạch socola Ovaltine 110ml,22500.0,G4,Winmart
MENU0134,Thức uống lúa mạch vị sô cô la Ovaltine lốc 4 hộp x 180ml,35000.0,G4,Winmart
MENU0134,Sữa đậu nành Fami nguyên chất Vinasoy gói 200ml,4200.0,G1,Winmart
MENU0134,Thùng 36 hộp sữa đậu nành nguyên chất Fami 200ml,176100.0,T,Winmart
MENU0134,Sữa đậu nành nguyên chất NutiFood túi 200ml,4500.0,G1,Winmart
MENU0134,Sữa đậu nành Nutifood nguyên chất 6 hộp x 200ml,31000.0,G6,Winmart
MENU0134, Lốc 4 hộp sữa hạt và gạo lứt đỏ TH true NUT 180ml,53500.0,G4,Winmart
MENU0134,Sữa lúa mạch Milo protein canxi hộp 210ml,10500.0,HOP,Winmart
MENU0134,Lốc 4 hộp sữa lúa mạch cacao NUVI có thạch 170ml,30500.0,G4,Winmart
MENU0134,Lốc 6 hộp sữa đậu nành Fami canxi cà phê 200ml,29900.0,G6,Winmart
MENU0134,Lốc 6 hộp sữa đậu nành Fami canxi cà phê 200ml,29900.0,G6,Winmart
MENU0134,Lốc 8 hộp sữa lúa mạch Nestle Milo 180ml,58500.0,G8,Winmart
MENU0134,Lốc 6 hộp sữa đậu nành canxi plus Fami 200ml,35900.0,G6,Winmart
MENU0134,Lốc 6 sữa đậu nành canxi vị socola Fami 200ml,29900.0,G6,Winmart
MENU0134,Sữa bắp thanh trùng Lothamilk  250ml,14000.0,G1,Winmart
MENU0134,Thức uống Susu  socola lúa mạch túi 110ml,5200.0,G1,Winmart
MENU0134,Sữa đậu nành canxi Fami hộp 1L,21900.0,HOP,Winmart
MENU0134,Sữa đậu nành Fami nguyên chất hộp 1L,21900.0,HOP,Winmart
MENU0134,Lốc 4 hộp thức uống trái cây tươi vị nho 180ml,27000.0,G4,Winmart
MENU0134,Thức uống dinh dưỡng Kun vị sô cô la lúa mạch Love'in Farm gói 110ml,5800.0,G1,Winmart
MENU0134,Sữa đậu nành hạt óc chó Vinamilk lốc 4 hộp x 180ml,31700.0,G4,Winmart
MENU0134,Sữa hạt óc chó TH True NUT lốc 4 hộp x 180ml,52600.0,G4,Winmart
MENU0134,Sữa hạt Macca TH True NUT lốc 4 hộp x 180ml,53500.0,G4,Winmart
MENU0134,"Sữa đậu đen, óc chó, hạnh nhân Sahmyook  hộp 190ml",53100.0,G3,Winmart
MENU0134,"Sữa đậu đen, óc chó, hạnh nhân Sahmyook hộp 140ml",42300.0,G3,Winmart
MENU0134,"Sữa đậu đen, óc chó, hạnh nhân Sahmyook túi  195ml",19800.0,G1,Winmart
MENU0134, Lốc 4 hộp sữa hạt hạnh nhân TH true NUT 180ml,53500.0,G4,Winmart
MENU0134,Sữa hạt hạnh nhân 137 Degrees vị truyền thống hộp 1L,135900.0,HOP,Winmart
MENU0134,Sữa hạt hạnh nhân 137 Degrees không đường lốc 3 hộp x 180ml,95900.0,G3,Winmart
MENU0134,Sữa hạt dẻ cười Degrees 137 truyền thống 180ml lốc 3,109900.0,G3,Winmart
MENU0134,Sữa óc chó Degrees truyền thống hộp 1L,155900.0,HOP,Winmart
MENU0134,Sữa hạt hạnh nhân Celano không đường hộp 1L,135900.0,HOP,Winmart
MENU0134,Lốc 3 hộp sữa hạt hạnh nhân Degree 127 180ml,95900.0,G3,Winmart
MENU0134,Lốc 3 hộp sữa óc chó Degrees 137 truyền thống 180ml,109900.0,G3,Winmart
MENU0134,Sữa uống Milo ít đường Nestle lốc  4 hộp x 180ml,31500.0,G4,Winmart
MENU0134,Sữa đậu nành đậu đỏ Vinamilk 4 hộp x 180ml,31700.0,G4,Winmart
MENU0134,Sữa đậu nành hạnh nhân Vinamilk 4 hộp x 180ml,31700.0,G4,Winmart
MENU0134,Sữa đậu nành Fami nguyên chất ít đường gói 200ml ,4200.0,G1,Winmart
MENU0134, Sữa đậu nành Fami canxi ít đường bịch 200ml,4300.0,G1,Winmart
MENU0134,Thùng 36 hộp sữa đậu nành Fami canxi ít đường 200ml,181800.0,T,Winmart
MENU0134,Thùng 36 hộp sữa đậu nành Vinasoy Fami nguyên chất ít đường 200ml,179400.0,T,Winmart
MENU0134,"Nước đậu đen, óc chó, hạnh nhân Sahmyook hộp 950ml",86600.0,HOP,Winmart
MENU0135,Sữa bột Pediasure hương vani 400g,323000.0,LON,Winmart
MENU0135,"Sữa bột Abbott PediaSure BA hương vani 1,6kg",1168500.0,LON,Winmart
MENU0135,Sữa bột hương vani PediaSure lon  850g,664000.0,LON,Winmart
MENU0135,Sữa bột NutiFood Grow Plus+ cho trẻ thấp còi 900g,411300.0,LON,Winmart
MENU0135,Sữa bột Glucerna SR Abbott 400g,406000.0,LON,Winmart
MENU0135,Sữa bột Abbott Glucerna hương vani hộp 850g,904300.0,LON,Winmart
MENU0135, Sữa bột Nutifood En Plus Gold lon 900g,523200.0,LON,Winmart
MENU0135,Lon Ensure Gold Green Health Đạm thực vật  850g,930100.0,LON,Winmart
MENU0135,Thực phẩm bổ sung Anlene gold 3X hương vani 440g,219600.0,HOP,Winmart
MENU0135,"Thực phẩm bổ sung Anlene gold 3X hương vani 1,2kg",536300.0,HOP,Winmart
MENU0135,TPBS Anlene gold 5X hương vani 800g,439100.0,HOP,Winmart
MENU0135,Sữa dinh dưỡng Nutifood  Varna Comlete 237ml ,34000.0,CHA,Winmart
MENU0135,Sữa Glucerna Hương Lúa Mạch  hộp 850g,915100.0,LON,Winmart
MENU0135,Sữa uống dinh dưỡng Abbott Glucerna hương vani chai 220ml,53200.0,CHA,Winmart
MENU0135,Sữa Ensure hương vani chai 237ml,40200.0,CHA,Winmart
