,name,price,pricing_unit,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
6317,"Чай зеленый RICHARD Royal Green Китайский байховый, 100пак",422.19,100пак,Lenta,green_tea,,,100.0,4.2219,,
6318,"Чай зеленый ЛЕНТА Да Хун Пао улун, листовой, 50г",178.99,50г,Lenta,green_tea,50.0,3579.8,,,,
6320,"Чай зеленый ЛЕНТА Молочный улун листовой, 100г",178.99,100г,Lenta,green_tea,100.0,1789.9,,,,
6321,"Чай черный AKBAR Limited Edition байховый, листовой, 200г",389.47,200г,Lenta,black_tea,200.0,1947.3500000000001,,,,
6322,"Чай черный СТАРИННЫЕ ГОРОДА РУСИ Москва байховый листовой, ж/б, 150г",578.99,150г,Lenta,black_tea,150.0,3859.9333333333334,,,,
6323,"Чай черный АЗЕРЧАЙ с ароматом бергамота, 100пак",406.39,100пак,Lenta,black_tea,,,100.0,4.0639,,
6324,"Чай черный АЗЕРЧАЙ Букет, 100пак",406.39,100пак,Lenta,black_tea,,,100.0,4.0639,,
6326,"Чай черный DOLCE ALBERO Orange Pekoe, листовой, 100г",178.94,100г,Lenta,black_tea,100.0,1789.3999999999999,,,,
6327,"Чай черный DOLCE ALBERO Earl Grey, листовой, 100г",178.94,100г,Lenta,black_tea,100.0,1789.3999999999999,,,,
6334,"Чай черный RICHARD Royal Kenya, 25пак",187.36,25пак,Lenta,black_tea,,,25.0,7.494400000000001,,
6335,"Чай черный RICHARD Royal Thyme & Rosemary, 25пак",187.36,25пак,Lenta,black_tea,,,25.0,7.494400000000001,,
6336,"Чай черный RICHARD Royal Kenya Кенийский байховый, 100пак",492.99,100пак,Lenta,black_tea,,,100.0,4.9299,,
6337,"Чай черный BASILUR Восточная коллекция Golden Crescent Золотой месяц, 25пак",157.89,25пак,Lenta,black_tea,,,25.0,6.3156,,
6338,"Чай черный GREENFIELD English Edition Цейлонский байховый, 100пак",466.99,100пак,Lenta,black_tea,,,100.0,4.6699,,
6339,"Чай зеленый RICHARD Moroccan Mint, 25пак",187.36,25пак,Lenta,green_tea,,,25.0,7.494400000000001,,
6340,"Чай черный RICHARD Christmas Toy Новогодняя игрушка Микс, листовой, 20г",297.99,20г,Lenta,black_tea,20.0,14899.5,,,,
6341,"Чай черный БОНТОН Счастливый день с ароматом земляники, крупнолистовой, 100г",524.99,100г,Lenta,black_tea,100.0,5249.900000000001,,,,
6343,"Чай зеленый DOLCE ALBERO Citrus Adventure, 20пир",294.73,20пир,Lenta,green_tea,,,20.0,14.736500000000001,,
6346,"Чай черный DOLCE ALBERO Mango story, 20пир",270.49,20пир,Lenta,black_tea,,,20.0,13.5245,,
6349,"Чай черный AHMAD TEA Классический, 100х2г",511.57,100пак,Lenta,black_tea,200.0,2557.8500000000004,100.0,5.1157,,
6351,"Чай черный МАЙСКИЙ с ароматом лимона байховый, 25пак",88.49,25пак,Lenta,black_tea,,,25.0,3.5395999999999996,,
6352,"Чай зеленый ЛИСМА Тонизирующий Китайский байховый, 25пак",72.39,25пак,Lenta,green_tea,,,25.0,2.8956,,
6353,"Чай черный BONVIDA байховый, крупнолистовой, 400г",421.09,400г,Lenta,black_tea,400.0,1052.725,,,,
6355,"Чай черный TESS Blueberry Tart с ароматом лаванды, яблоком и черникой, 20пир",138.99,20пир,Lenta,black_tea,,,20.0,6.9495000000000005,,
6356,"Чай зеленый DOLCE ALBERO с гравиолой, листовой, 100г",178.94,100г,Lenta,green_tea,100.0,1789.3999999999999,,,,
6357,Чай черный АЗЕРЧАЙ Байховый высшего сорта с чабрецом к/уп,406.31,100пак,Lenta,black_tea,,,100.0,4.0631,,
6358,"Чай черный ПРИНЦЕССА НУРИ Золото Шри-Ланки листовой, 200г",318.49,200г,Lenta,black_tea,200.0,1592.45,,,,
6359,"Чай черный ПРИНЦЕССА НУРИ Магия Бергамота ароматизированный, 100пак",341.05,100пак,Lenta,black_tea,,,100.0,3.4105000000000003,,
6360,"Чай зеленый RICHARD Royal Melissa с мятой и цедрой, 25пак",187.36,25пак,Lenta,green_tea,,,25.0,7.494400000000001,,
6362,"Чай черный DOLCE ALBERO C ароматом бергамота, 20пак",148.99,20пак,Lenta,black_tea,,,20.0,7.4495000000000005,,
6364,"Чай черный AHMAD TEA Эрл грей, листовой, 500г",994.99,500г,Lenta,black_tea,500.0,1989.98,,,,
